Epoch,tle_a,tle_e,tle_i,tle_O,tle_omega,tle_m,rk45_a,rk45_e,rk45_i,rk45_O,rk45_omega,rk45_m,a_err,e_err,i_err,O_err,omega_err,m_err,x_tle,y_tle,z_tle,vx_tle,vy_tle,vz_tle,alt_tle,speed_tle,x_rk45,y_rk45,z_rk45,vx_rk45,vy_rk45,vz_rk45,alt_rk45,speed_rk45,x_err,y_err,z_err,alt_err,speed_err
2.46038837439085e+06,7.70730325315171e+03,9.89314786221803e-04,6.60548529860879e+01,1.70072647414902e+02,3.59510469084865e+02,1.74803742251743e+02,7.73825748316008e+03,2.90058577540934e-03,6.61416632043876e+01,1.69972759478835e+02,1.27507702921853e+01,1.81900684900506e-02,3.09542300083731e+01,1.91127098918754e-03,8.68102182997035e-02,9.98879360677449e-02,3.46759698792680e+02,1.74785552183253e+02,-3.51487085406675e+02,-3.11628604398832e+03,7.04874830935108e+03,7.08706485257953e+00,-1.16734780968170e+00,-1.61988557827511e-01,1.33689692787556e+03,7.18438789503349e+00,-6.38307541133646e+02,-3.05616509346331e+03,7.05593178088788e+03,7.08108291046599e+00,-1.28901004761800e+00,8.22757955280852e-02,1.33781200471572e+03,7.19791993525098e+00,2.86820455726970e+02,6.01209505250108e+01,7.18347153679497e+00,9.15076840159600e-01,1.35320402174912e-02
2.46038837446612e+06,7.70733214997817e+03,9.90241764620883e-04,6.60548411931949e+01,1.70098371179347e+02,3.59653820580392e+02,1.73700061012425e+02,7.73825390474647e+03,2.90017588562731e-03,6.61415977071196e+01,1.69999613428903e+02,1.00877984750710e+01,5.62288663628511e-01,3.09217547682993e+01,1.90993412100643e-03,8.67565139247120e-02,9.87577504447188e-02,3.49566022105321e+02,1.73137772348796e+02,-1.37272305693553e+02,-3.15016225970280e+03,7.04113613089808e+03,7.09393955238444e+00,-1.08267212251458e+00,-3.45224757884086e-01,1.33691827320320e+03,7.18438149259982e+00,-5.90796442696593e+02,-3.06477962519353e+03,7.05633410114544e+03,7.08514396522012e+00,-1.26844243426842e+00,4.25102605938121e-02,1.33781269437591e+03,7.19791763909560e+00,4.53524137003040e+02,8.53826345092721e+01,1.51979702473636e+01,8.94421172706643e-01,1.35361464957890e-02
2.46038837454138e+06,7.70738322636395e+03,9.89183733834698e-04,6.60548660545939e+01,1.70124099100788e+02,3.59733735406489e+02,1.72590385769921e+02,7.73825139663650e+03,2.89999987540937e-03,6.61415339228615e+01,1.70026466566583e+02,8.33848502590986e+00,1.10639398671856e+00,3.08681702725507e+01,1.91081614157467e-03,8.66678682676252e-02,9.76325342049904e-02,3.51395250380579e+02,1.71483991783203e+02,7.70801403912544e+01,-3.18138368931075e+03,7.02803051035678e+03,7.09521288292331e+00,-9.97149283012950e-01,-5.28192174912750e-01,1.33694370563784e+03,7.18438163798759e+00,-5.43255572617942e+02,-3.07323775057635e+03,7.05647782090004e+03,7.08892802367744e+00,-1.24782492748699e+00,2.74300265658261e-03,1.33781467672741e+03,7.19791463540662e+00,6.20335713009196e+02,1.08145938734403e+02,2.84473105432562e+01,8.70971089568229e-01,1.35329974190324e-02
2.46038837461664e+06,7.70745632311112e+03,9.86156355235320e-04,6.60549273015031e+01,1.70149833244125e+02,3.59785159861516e+02,1.71470892029707e+02,7.73824997448983e+03,2.90005968032524e-03,6.61414718608501e+01,1.70053318835633e+02,7.10431653346297e+00,1.65040734929146e+00,3.07936513787108e+01,1.91390332508992e-03,8.65445593469474e-02,9.65144084913163e-02,3.52680843328053e+02,1.69820484680415e+02,2.91400899390318e+02,-3.20992595726012e+03,7.00944164072287e+03,7.09088301160931e+00,-9.10850710682286e-01,-7.10749078786312e-01,1.33697318530385e+03,7.18438829368761e+00,-4.95687465169551e+02,-3.08153901937022e+03,7.05636293491259e+03,7.09243486285094e+00,-1.22715880169118e+00,-3.70239438285327e-02,1.33781795147058e+03,7.19791093170568e+00,7.87088364559869e+02,1.28386937889899e+02,4.69212941897231e+01,8.44766166726004e-01,1.35226380180740e-02
2.46038837469190e+06,7.70755121258268e+03,9.81183259896816e-04,6.60550245503132e+01,1.70175576159452e+02,3.59821345196406e+02,1.70337700993797e+02,7.73824966045626e+03,2.90035797594584e-03,6.61414115287817e+01,1.70080170513034e+02,6.18834667262586e+00,2.19422436465202e+00,3.06984478735812e+01,1.91917471604903e-03,8.63869784685534e-02,9.54056464182997e-02,3.53632998523781e+02,1.68143476629145e+02,5.05520645168986e+02,-3.23576691758224e+03,6.98538396258623e+03,7.08095244976357e+00,-8.23848358836801e-01,-8.92754040550633e-01,1.33700666055245e+03,7.18440140102780e+00,-4.48093330746677e+02,-3.08968322197410e+03,7.05598944790497e+03,7.09566436847263e+00,-1.20644479872355e+00,-7.67896783074886e-02,1.33782251831613e+03,7.19790653850644e+00,9.53613975915663e+02,1.46083695608132e+02,7.06054853187406e+01,8.15857763681379e-01,1.35051374786332e-02
2.46038837476717e+06,7.70766759940300e+03,9.74296024344855e-04,6.60551573061195e+01,1.70201329866895e+02,3.59848419072597e+02,1.69186832444498e+02,7.73825047713679e+03,2.90089745494527e-03,6.61413529340932e+01,1.70107021554058e+02,5.48231426338618e+00,2.73776031421371e+00,3.05828777337874e+01,1.92660143060041e-03,8.61956279737228e-02,9.43083128364606e-02,3.54366104809211e+02,1.66449072130284e+02,7.19270153796037e+02,-3.25888667384897e+03,6.95587615368955e+03,7.06542803601624e+00,-7.36214783301231e-01,-1.07406603487698e+00,1.33704406809184e+03,7.18442088038778e+00,-4.00475056619145e+02,-3.09767003542152e+03,7.05535737033808e+03,7.09861638267556e+00,-1.18568395313414e+00,-1.16552722651194e-01,1.33782837694738e+03,7.19790146655725e+00,1.11974521041518e+03,1.61216638427449e+02,9.94812166485317e+01,7.84308855533709e-01,1.34805861694725e-02
2.46038837484243e+06,7.70780512136593e+03,9.65534149259352e-04,6.60553249627238e+01,1.70227096519998e+02,3.59869603617786e+02,1.68014156511351e+02,7.73825243533868e+03,2.90167914510788e-03,6.61412960851239e+01,1.70133871920338e+02,4.92204045391583e+00,3.28089404209112e+00,3.04473139727543e+01,1.93614499584852e-03,8.59711224001529e-02,9.32245996596066e-02,3.54947563163870e+02,1.64733262469260e+02,9.32480471968304e+02,-3.27926759311416e+03,6.92094111519408e+03,7.04432094522821e+00,-6.48023002788912e-01,-1.25454454247566e+00,1.33708533315315e+03,7.18444663147969e+00,-3.52834955720319e+02,-3.10549907477283e+03,7.05446673173538e+03,7.10129073632489e+00,-1.16487745599432e+00,-1.56311243837822e-01,1.33783552692477e+03,7.19789572126796e+00,1.28531542768862e+03,1.73768518341321e+02,1.33525616541298e+02,7.50193771614249e-01,1.34490897882751e-02
2.46038837491770e+06,7.70796335054763e+03,9.54945042864397e-04,6.60555268049211e+01,1.70252878230608e+02,3.59886753779192e+02,1.66815343332603e+02,7.73825555811245e+03,2.90270566042530e-03,6.61412409865822e+01,1.70160721744944e+02,4.46696607492940e+00,3.82354686590129e+00,3.02922075648221e+01,1.94776061756090e-03,8.57141816611175e-02,9.21564856644750e-02,3.55419787704263e+02,1.62991796466701e+02,1.14498303866049e+03,-3.29689431961875e+03,6.88060595498545e+03,7.01764668035423e+00,-5.59346462794407e-01,-1.43404965234428e+00,1.33713036969148e+03,7.18447853369443e+00,-3.05174475541666e+02,-3.11317010738785e+03,7.05331755695940e+03,7.10368732200156e+00,-1.14402616088360e+00,-1.96064135713808e-01,1.33784396792516e+03,7.19788931360193e+00,1.45015751420216e+03,1.83724212230902e+02,1.72711601973952e+02,7.13598233682205e-01,1.34107799075034e-02
2.46038837499296e+06,7.70814179462126e+03,9.42584011529701e-04,6.60557620111187e+01,1.70278676898058e+02,3.59901011954385e+02,1.65585809626141e+02,7.73825985137467e+03,2.90397720883621e-03,6.61411876454505e+01,1.70187570868448e+02,4.09034826868702e+00,4.36559253931695e+00,3.01180567534111e+01,1.96139319730650e-03,8.54256343317417e-02,9.11060296105006e-02,3.55810663685698e+02,1.61220217086824e+02,1.35660980644271e+03,-3.31175379038433e+03,6.83490196791446e+03,6.98542506315245e+00,-4.70258998302846e-01,-1.61244216386186e+00,1.33717908062169e+03,7.18451644651209e+00,-2.57496157273684e+02,-3.12068273087351e+03,7.05190990672613e+03,7.10580598681193e+00,-1.12313136102729e+00,-2.35809378023985e-01,1.33785369938836e+03,7.19788224682089e+00,1.61410596371640e+03,1.91071059510811e+02,2.17007938811663e+02,6.74618766669482e-01,1.33658003087929e-02
2.46038837506822e+06,7.70833989836943e+03,9.28514260938066e-04,6.60560296543627e+01,1.70304494870434e+02,3.59913119434217e+02,1.64320661175239e+02,7.73826534189991e+03,2.90549675022470e-03,6.61411360631801e+01,1.70214419749995e+02,3.77373282486061e+00,4.90695518348725e+00,2.99254435304774e+01,1.97698248928664e-03,8.51064088174240e-02,9.00751204398489e-02,3.56139386609356e+02,1.59413705991752e+02,1.56719341058805e+03,-3.32383523011489e+03,6.78386461286491e+03,6.94768022920438e+00,-3.80834694555660e-01,-1.78958368871250e+00,1.33723135808799e+03,7.18456020997531e+00,-2.09801214901457e+02,-3.12803676244057e+03,7.05024381533927e+03,7.10764665858333e+00,-1.10219379049916e+00,-2.75546051474329e-01,1.33786472099423e+03,7.19787453360843e+00,1.77699462548951e+03,1.95798467674318e+02,2.66379202474357e+02,6.33362906241018e-01,1.33143236331161e-02
2.46038837514349e+06,7.70855704539010e+03,9.12806912081449e-04,6.60563287075624e+01,1.70330333932540e+02,3.59923577704706e+02,1.63014630223253e+02,7.73827202300137e+03,2.90726269305926e-03,6.61410862444439e+01,1.70241268255879e+02,3.50407262537553e+00,5.44751583426620e+00,2.97149776112710e+01,1.99445578097781e-03,8.47575368814972e-02,8.90656766613347e-02,3.56419505079330e+02,1.57567114388986e+02,1.77656724122131e+03,-3.33313018103522e+03,6.72753348699423e+03,6.90444060538581e+00,-2.91147952086398e-01,-1.96533675255445e+00,1.33728708376671e+03,7.18460964522400e+00,-1.62091540831572e+02,-3.13523191746508e+03,7.04831934104963e+03,7.10920922217339e+00,-1.08121449444558e+00,-3.15272695291909e-01,1.33787703228319e+03,7.19786617130598e+00,1.93865878205288e+03,1.97898263570137e+02,3.20785854055398e+02,5.89948516482764e-01,1.32565260819728e-02
2.46038837521875e+06,7.70879255999117e+03,8.95541037283678e-04,6.60566580451509e+01,1.70356195971274e+02,3.59932737783851e+02,1.61662006771511e+02,7.73827991919516e+03,2.90927754822306e-03,6.61410381883897e+01,1.70268116513979e+02,3.27181121125446e+00,5.98718665842004e+00,2.94873592039958e+01,2.01373651093939e-03,8.43801432387892e-02,8.80794572948957e-02,3.56660926572597e+02,1.55674820113091e+02,1.98456561175255e+03,-3.33963249537256e+03,6.66595229669999e+03,6.85573889985952e+00,-2.01273346217696e-01,-2.13956489647259e+00,1.33734612920114e+03,7.18466455508971e+00,-1.14369453110612e+02,-3.14226785515216e+03,7.04613657329650e+03,7.11049358660599e+00,-1.06019466384134e+00,-3.54987458408777e-01,1.33789063264079e+03,7.19785717182760e+00,2.09893506486316e+03,1.97364640220404e+02,3.80184276596508e+02,5.44503439648906e-01,1.31926167378964e-02
2.46038837529401e+06,7.70904570926785e+03,8.76803722510830e-04,6.60570164473817e+01,1.70382082633791e+02,3.59940852472483e+02,1.60256562806124e+02,7.73828901988734e+03,2.91153903595813e-03,6.61409918956655e+01,1.70294964430204e+02,3.06984894456957e+00,6.52584986176535e+00,2.92433106194931e+01,2.03473531344730e-03,8.39754482837947e-02,8.71182035874085e-02,3.56871003527913e+02,1.53730712944359e+02,2.19102386861436e+03,-3.34333834956977e+03,6.59916882568399e+03,6.80161208096757e+00,-1.11285609045468e-01,-2.31213277811993e+00,1.33740835616762e+03,7.18472472474772e+00,-6.66368459520637e+01,-3.14914431053947e+03,7.04369559672062e+03,7.11149966619156e+00,-1.03913534364688e+00,-3.94688879723011e-01,1.33790552152520e+03,7.19784753078556e+00,2.25766071456642e+03,1.94194039030302e+02,4.44526771036640e+02,4.97165357583071e-01,1.31228060378383e-02
2.46038837536927e+06,7.70931570535716e+03,8.56690163269494e-04,6.60574026025887e+01,1.70407995993732e+02,3.59948108332391e+02,1.58791468573963e+02,7.73829934862646e+03,2.91404939998332e-03,6.61409473630473e+01,1.70321812437131e+02,2.89275098691550e+00,7.06342656596808e+00,2.89836432693019e+01,2.05735923671383e-03,8.35447604586221e-02,8.61835566010711e-02,3.57055357345475e+02,1.51728042007994e+02,2.39577855906554e+03,-3.34424622207191e+03,6.52723489984899e+03,6.74210135679067e+00,-2.12594906076953e-02,-2.48290627253575e+00,1.33747361707155e+03,7.18478992242479e+00,-1.88949352829411e+01,-3.15586112035526e+03,7.04099646564935e+03,7.11222741309209e+00,-1.01803727339005e+00,-4.34376043510010e-01,1.33792169859415e+03,7.19783725939435e+00,2.41467349434849e+03,1.88385101716650e+02,5.13761565800362e+02,4.48081522601569e-01,1.30473369695565e-02
2.46038837544454e+06,7.70960170786267e+03,8.35303802515617e-04,6.60578151136175e+01,1.70433937537957e+02,3.59954646026991e+02,1.57259200230527e+02,7.73831088494959e+03,2.91680489937472e-03,6.61409045861555e+01,1.70348660481843e+02,2.73633023576787e+00,7.59979604090637e+00,2.87091770869210e+01,2.08150109685910e-03,8.30894725380489e-02,8.52770561134264e-02,3.57218315791223e+02,1.49659404189620e+02,2.59866750027685e+03,-3.34235693066578e+03,6.45020634940683e+03,6.67725214748822e+00,6.87301799060048e-02,-2.65175257257631e+00,1.33754175537226e+03,7.18485990016027e+00,2.88537326181576e+01,-3.16241793757650e+03,7.03803931632354e+03,7.11267675133745e+00,-9.96901745218558e-01,-4.74046928971989e-01,1.33793916305121e+03,7.19782634894062e+00,2.56981376765869e+03,1.79938993089280e+02,5.87832966916711e+02,3.97407678957279e-01,1.29664487803547e-02
2.46038837551980e+06,7.70990282644259e+03,8.12756519981703e-04,6.60582525006390e+01,1.70459908833273e+02,3.59960573701581e+02,1.55651438564486e+02,7.73832364777935e+03,2.91980701723102e-03,6.61408635606060e+01,1.70375508642843e+02,2.59727312623827e+00,8.13487689224432e+00,2.84208213367592e+01,2.10705049724932e-03,8.26110599670216e-02,8.44001904303298e-02,3.57363300575343e+02,1.47516561672242e+02,2.79952994561920e+03,-3.33767360781446e+03,6.36814296774915e+03,6.60711405955214e+00,1.58608633741423e-01,-2.81854028893270e+00,1.33761260603543e+03,7.18493439461807e+00,7.66077053913190e+01,-3.16881457980677e+03,7.03482423061069e+03,7.11284764176604e+00,-9.75729627137621e-01,-5.13700436868418e-01,1.33795791443347e+03,7.19781480861307e+00,2.72292224022788e+03,1.68859028007686e+02,6.66681262861535e+02,3.45308398046654e-01,1.28804139950001e-02
2.46038837559507e+06,7.71021812355341e+03,7.89168883094646e-04,6.60587132061635e+01,1.70485911353576e+02,3.59965976054200e+02,1.53958959166486e+02,7.73833761484310e+03,2.92305161448942e-03,6.61408242764157e+01,1.70402357061891e+02,2.47295177291630e+00,8.66855553628866e+00,2.81194912896926e+01,2.13388273139477e-03,8.21110702522105e-02,8.35542916848624e-02,3.57493024281284e+02,1.45290403630197e+02,2.99820670108982e+03,-3.33020170362774e+03,6.28110846743977e+03,6.53174085440706e+00,2.48301201902982e-01,-2.98313954966491e+00,1.33768599601153e+03,7.18501312794706e+00,1.24364662063318e+02,-3.17505075050984e+03,7.03135135781623e+03,7.11274004185671e+00,-9.54522108049230e-01,-5.53334732846685e-01,1.33797795192206e+03,7.19780262888342e+00,2.87384203902650e+03,1.55150953117901e+02,7.50242890376466e+02,2.91955910527577e-01,1.27895009363579e-02
2.46038837567033e+06,7.71054661734108e+03,7.64670469882953e-04,6.60591956002974e+01,1.70511946307271e+02,3.59970920660817e+02,1.52171515508243e+02,7.73835280005270e+03,2.92653930234506e-03,6.61407867285644e+01,1.70429205624368e+02,2.36123732477228e+00,9.20074010663356e+00,2.78061827116226e+01,2.16186883246211e-03,8.15911282669930e-02,8.27406829029940e-02,3.57609683336045e+02,1.42970775401609e+02,3.19454024082519e+03,-3.31994899053841e+03,6.18917043322851e+03,6.45119041559106e+00,3.37733355807300e-01,-3.14542209920581e+00,1.33776174473904e+03,7.18509580868697e+00,1.72122706150441e+02,-3.18112622336588e+03,7.02762083023706e+03,7.11235393377528e+00,-9.33280247867351e-01,-5.92948351466074e-01,1.33799927478874e+03,7.19778981687117e+00,3.02241753467475e+03,1.38822767172528e+02,8.38450397008549e+02,2.37530049704219e-01,1.26940081841989e-02
