Epoch,Position_X_km,Position_Y_km,Position_Z_km,Velocity_X_kmps,Velocity_Y_kmps,Velocity_Z_kmps
2460387.964657,5931.906707,4936.374131,0.006676,-1.866689,2.242380,6.570191
2460387.964664,5861.010268,5014.685157,237.676835,-2.051936,2.086065,6.566449
2460387.964671,5783.452974,5087.297149,475.076282,-2.234851,1.927380,6.555228
2460387.964677,5699.323008,5154.127624,711.934625,-2.415225,1.766506,6.536541
2460387.964684,5608.716075,5215.100717,947.982100,-2.592850,1.603628,6.510409
2460387.964691,5511.735294,5270.147273,1182.949881,-2.767523,1.438932,6.476863
2460387.964698,5408.491073,5319.204926,1416.570398,-2.939046,1.272606,6.435942
2460387.964705,5299.100983,5362.218169,1648.577644,-3.107221,1.104842,6.387694
2460387.964712,5183.689617,5399.138417,1878.707487,-3.271857,0.935831,6.332174
2460387.964719,5062.388442,5429.924059,2106.697972,-3.432766,0.765767,6.269446
2460387.964726,4935.335646,5454.540507,2332.289630,-3.589764,0.594844,6.199585
2460387.964733,4802.675977,5472.960229,2555.225774,-3.742672,0.423258,6.122669
2460387.964740,4664.560567,5485.162780,2775.252796,-3.891317,0.251205,6.038790
2460387.964747,4521.146756,5491.134822,2992.120461,-4.035528,0.078882,5.948044
2460387.964754,4372.597908,5490.870133,3205.582191,-4.175144,-0.093515,5.850536
2460387.964761,4219.083220,5484.369610,3415.395351,-4.310003,-0.265788,5.746378
2460387.964768,4060.777516,5471.641265,3621.321526,-4.439955,-0.437742,5.635692
2460387.964775,3897.861052,5452.700210,3823.126790,-4.564852,-0.609181,5.518605
2460387.964782,3730.519297,5427.568634,4020.581976,-4.684553,-0.779908,5.395253
2460387.964789,3558.942718,5396.275771,4213.462935,-4.798922,-0.949731,5.265776
2460387.964796,3383.326562,5358.857864,4401.550784,-4.907831,-1.118455,5.130325
2460387.964803,3203.870623,5315.358113,4584.632162,-5.011157,-1.285890,4.989056
2460387.964810,3020.779013,5265.826626,4762.499462,-5.108784,-1.451845,4.842130
2460387.964817,2834.259925,5210.320349,4934.951066,-5.200603,-1.616132,4.689717
2460387.964824,2644.525393,5148.903003,5101.791571,-5.286510,-1.778565,4.531991
2460387.964831,2451.791047,5081.644997,5262.832004,-5.366411,-1.938960,4.369132
2460387.964838,2256.275863,5008.623350,5417.890032,-5.440215,-2.097136,4.201328
2460387.964845,2058.201918,4929.921594,5566.790166,-5.507840,-2.252914,4.028770
2460387.964852,1857.794129,4845.629672,5709.363948,-5.569213,-2.406119,3.851654
2460387.964859,1655.280001,4755.843838,5845.450143,-5.624264,-2.556577,3.670184
2460387.964866,1450.889367,4660.666534,5974.894908,-5.672932,-2.704119,3.484565
2460387.964873,1244.854129,4560.206276,6097.551964,-5.715166,-2.848580,3.295010
2460387.964880,1037.407990,4454.577526,6213.282756,-5.750917,-2.989795,3.101733
2460387.964887,828.786198,4343.900556,6321.956595,-5.780147,-3.127608,2.904954
2460387.964894,619.225277,4228.301310,6423.450809,-5.802825,-3.261862,2.704896
2460387.964901,408.962759,4107.911264,6517.650866,-5.818927,-3.392408,2.501787
2460387.964908,198.236923,3982.867264,6604.450503,-5.828435,-3.519098,2.295856
2460387.964915,-12.713474,3853.311383,6683.751836,-5.831339,-3.641792,2.087336
2460387.964922,-223.649464,3719.390749,6755.465464,-5.827639,-3.760350,1.876464
2460387.964929,-434.332133,3581.257382,6819.510567,-5.817338,-3.874640,1.663477
2460387.964936,-644.522890,3439.068024,6875.814987,-5.800450,-3.984535,1.448616
2460387.964943,-853.983726,3292.983959,6924.315310,-5.776994,-4.089911,1.232124
2460387.964950,-1062.477484,3143.170834,6964.956928,-5.746997,-4.190650,1.014245
2460387.964957,-1269.768120,2989.798475,6997.694097,-5.710494,-4.286639,0.795225
2460387.964964,-1475.620963,2833.040692,7022.489987,-5.667527,-4.377771,0.575310
2460387.964971,-1679.802975,2673.075093,7039.316722,-5.618143,-4.463943,0.354748
2460387.964978,-1882.083012,2510.082877,7048.155402,-5.562400,-4.545060,0.133789
2460387.964985,-2082.232076,2344.248641,7048.996132,-5.500359,-4.621029,-0.087319
2460387.964992,-2280.023572,2175.760172,7041.838024,-5.432091,-4.691766,-0.308328
2460387.964999,-2475.233553,2004.808238,7026.689203,-5.357672,-4.757191,-0.528987
2460387.965006,-2667.640976,1831.586376,7003.566796,-5.277186,-4.817231,-0.749049
2460387.965012,-2857.027942,1656.290682,6972.496912,-5.190724,-4.871817,-0.968265
2460387.965019,-3043.179937,1479.119591,6933.514620,-5.098381,-4.920889,-1.186388
2460387.965026,-3225.886076,1300.273656,6886.663905,-5.000262,-4.964390,-1.403173
2460387.965033,-3404.939331,1119.955330,6831.997625,-4.896477,-5.002271,-1.618375
2460387.965040,-3580.136768,938.368740,6769.577455,-4.787141,-5.034490,-1.831751
2460387.965047,-3751.279768,755.719460,6699.473822,-4.672377,-5.061009,-2.043060
2460387.965054,-3918.174256,572.214284,6621.765825,-4.552314,-5.081797,-2.252064
2460387.965061,-4080.630913,388.060996,6536.541159,-4.427087,-5.096831,-2.458526
2460387.965068,-4238.465393,203.468142,6443.896015,-4.296835,-5.106093,-2.662213
2460387.965075,-4391.498529,18.644794,6343.934981,-4.161704,-5.109571,-2.862894
2460387.965082,-4539.556538,-166.199682,6236.770927,-4.021846,-5.107260,-3.060342
2460387.965089,-4682.471219,-350.855858,6122.524887,-3.877419,-5.099163,-3.254334
2460387.965096,-4820.080139,-535.114479,6001.325925,-3.728583,-5.085286,-3.444648
2460387.965103,-4952.226830,-718.766700,5873.311001,-3.575507,-5.065645,-3.631070
2460387.965110,-5078.760956,-901.604317,5738.624816,-3.418362,-5.040260,-3.813386
2460387.965117,-5199.538499,-1083.420002,5597.419662,-3.257326,-5.009160,-3.991390
2460387.965124,-5314.421915,-1264.007539,5449.855251,-3.092579,-4.972377,-4.164878
2460387.965131,-5423.280304,-1443.162057,5296.098541,-2.924307,-4.929953,-4.333654
2460387.965138,-5525.989553,-1620.680260,5136.323558,-2.752700,-4.881934,-4.497524
2460387.965145,-5622.432493,-1796.360660,4970.711197,-2.577951,-4.828373,-4.656300
2460387.965152,-5712.499028,-1970.003808,4799.449028,-2.400259,-4.769329,-4.809803
2460387.965159,-5796.086269,-2141.412517,4622.731088,-2.219824,-4.704869,-4.957855
2460387.965166,-5873.098661,-2310.392093,4440.757663,-2.036850,-4.635065,-5.100287
2460387.965173,-5943.448090,-2476.750555,4253.735065,-1.851545,-4.559993,-5.236935
2460387.965180,-6007.053997,-2640.298860,4061.875405,-1.664119,-4.479740,-5.367644
2460387.965187,-6063.843470,-2800.851117,3865.396350,-1.474783,-4.394394,-5.492261
2460387.965194,-6113.751337,-2958.224802,3664.520881,-1.283755,-4.304052,-5.610644
2460387.965201,-6156.720246,-3112.240973,3459.477043,-1.091249,-4.208815,-5.722657
