Epoch: 2.46078e+06 | MSE: 0 | RK45-a: 7721.59 | SGP4-a: 7721.59
Epoch: 2.46078e+06 | MSE: 5165.82 | RK45-a: 7721.59 | SGP4-a: 7720.96
Epoch: 2.46078e+06 | MSE: 454.573 | RK45-a: 7721.59 | SGP4-a: 7719.18
Epoch: 2.46078e+06 | MSE: 2204.04 | RK45-a: 7721.58 | SGP4-a: 7716.56
Epoch: 2.46078e+06 | MSE: 4811.23 | RK45-a: 7721.58 | SGP4-a: 7713.57
Epoch: 2.46078e+06 | MSE: 3142.67 | RK45-a: 7721.59 | SGP4-a: 7710.73
Epoch: 2.46078e+06 | MSE: 7930.35 | RK45-a: 7721.6 | SGP4-a: 7708.55
Epoch: 2.46078e+06 | MSE: 3759.6 | RK45-a: 7721.59 | SGP4-a: 7707.41
Epoch: 2.46078e+06 | MSE: 7052.2 | RK45-a: 7721.58 | SGP4-a: 7707.51
Epoch: 2.46078e+06 | MSE: 4696.23 | RK45-a: 7721.57 | SGP4-a: 7708.82
Epoch: 2.46078e+06 | MSE: 6311.74 | RK45-a: 7721.57 | SGP4-a: 7711.13
Epoch: 2.46078e+06 | MSE: 6999.57 | RK45-a: 7721.59 | SGP4-a: 7714.02
Epoch: 2.46078e+06 | MSE: 1990.7 | RK45-a: 7721.59 | SGP4-a: 7717
Epoch: 2.46078e+06 | MSE: 2095.7 | RK45-a: 7721.59 | SGP4-a: 7719.51
Epoch: 2.46078e+06 | MSE: 1391.37 | RK45-a: 7721.57 | SGP4-a: 7721.14
Epoch: 2.46078e+06 | MSE: 320.291 | RK45-a: 7721.56 | SGP4-a: 7721.58
Epoch: 2.46078e+06 | MSE: 3380.24 | RK45-a: 7721.57 | SGP4-a: 7720.76
Epoch: 2.46078e+06 | MSE: 526.194 | RK45-a: 7721.58 | SGP4-a: 7718.83
Epoch: 2.46078e+06 | MSE: 3874.75 | RK45-a: 7721.59 | SGP4-a: 7716.12
Epoch: 2.46078e+06 | MSE: 6674.11 | RK45-a: 7721.59 | SGP4-a: 7713.12
Epoch: 2.46078e+06 | MSE: 4917.16 | RK45-a: 7721.57 | SGP4-a: 7710.35
Epoch: 2.46078e+06 | MSE: 8127.23 | RK45-a: 7721.56 | SGP4-a: 7708.31
Epoch: 2.46078e+06 | MSE: 3951.61 | RK45-a: 7721.57 | SGP4-a: 7707.35
Epoch: 2.46078e+06 | MSE: 4325.79 | RK45-a: 7721.59 | SGP4-a: 7707.63
Epoch: 2.46078e+06 | MSE: 3905.57 | RK45-a: 7721.59 | SGP4-a: 7709.11
Epoch: 2.46078e+06 | MSE: 1573.35 | RK45-a: 7721.58 | SGP4-a: 7711.54
Epoch: 2.46078e+06 | MSE: 4761.65 | RK45-a: 7721.57 | SGP4-a: 7714.47
Epoch: 2.46078e+06 | MSE: 436.915 | RK45-a: 7721.57 | SGP4-a: 7717.41
Epoch: 2.46078e+06 | MSE: 1038.93 | RK45-a: 7721.58 | SGP4-a: 7719.82
Epoch: 2.46078e+06 | MSE: 3104.96 | RK45-a: 7721.59 | SGP4-a: 7721.28
Epoch: 2.46078e+06 | MSE: 1527.01 | RK45-a: 7721.59 | SGP4-a: 7721.54
Epoch: 2.46078e+06 | MSE: 6380.7 | RK45-a: 7721.58 | SGP4-a: 7720.53
Epoch: 2.46078e+06 | MSE: 4011.33 | RK45-a: 7721.57 | SGP4-a: 7718.47
Epoch: 2.46078e+06 | MSE: 3126.31 | RK45-a: 7721.57 | SGP4-a: 7715.68
Epoch: 2.46078e+06 | MSE: 7791.93 | RK45-a: 7721.58 | SGP4-a: 7712.68
Epoch: 2.46078e+06 | MSE: 1869.9 | RK45-a: 7721.59 | SGP4-a: 7709.99
Epoch: 2.46078e+06 | MSE: 4317.91 | RK45-a: 7721.59 | SGP4-a: 7708.09
Epoch: 2.46078e+06 | MSE: 1941.68 | RK45-a: 7721.58 | SGP4-a: 7707.31
Epoch: 2.46078e+06 | MSE: 1978.73 | RK45-a: 7721.58 | SGP4-a: 7707.78
Epoch: 2.46078e+06 | MSE: 2552.28 | RK45-a: 7721.58 | SGP4-a: 7709.42
Epoch: 2.46078e+06 | MSE: 327.465 | RK45-a: 7721.58 | SGP4-a: 7711.96
Epoch: 2.46078e+06 | MSE: 4314.62 | RK45-a: 7721.58 | SGP4-a: 7714.92
Epoch: 2.46078e+06 | MSE: 1156.75 | RK45-a: 7721.58 | SGP4-a: 7717.82
Epoch: 2.46078e+06 | MSE: 2593.37 | RK45-a: 7721.58 | SGP4-a: 7720.1
Epoch: 2.46078e+06 | MSE: 5457.69 | RK45-a: 7721.57 | SGP4-a: 7721.4
Epoch: 2.46078e+06 | MSE: 4273.83 | RK45-a: 7721.58 | SGP4-a: 7721.46
Epoch: 2.46078e+06 | MSE: 8070.64 | RK45-a: 7721.58 | SGP4-a: 7720.29
Epoch: 2.46078e+06 | MSE: 5101.65 | RK45-a: 7721.59 | SGP4-a: 7718.08
Epoch: 2.46078e+06 | MSE: 740.087 | RK45-a: 7721.58 | SGP4-a: 7715.23
Epoch: 2.46078e+06 | MSE: 5267.65 | RK45-a: 7721.58 | SGP4-a: 7712.25
Epoch: 2.46078e+06 | MSE: 740.841 | RK45-a: 7721.58 | SGP4-a: 7709.65
Epoch: 2.46078e+06 | MSE: 2146.65 | RK45-a: 7721.59 | SGP4-a: 7707.89
Epoch: 2.46078e+06 | MSE: 1451.57 | RK45-a: 7721.59 | SGP4-a: 7707.3
Epoch: 2.46078e+06 | MSE: 859.015 | RK45-a: 7721.59 | SGP4-a: 7707.95
Epoch: 2.46078e+06 | MSE: 2489.13 | RK45-a: 7721.58 | SGP4-a: 7709.75
Epoch: 2.46078e+06 | MSE: 306.719 | RK45-a: 7721.58 | SGP4-a: 7712.39
Epoch: 2.46078e+06 | MSE: 4842.06 | RK45-a: 7721.58 | SGP4-a: 7715.37
Epoch: 2.46078e+06 | MSE: 2561.72 | RK45-a: 7721.59 | SGP4-a: 7718.21
Epoch: 2.46078e+06 | MSE: 4604.35 | RK45-a: 7721.59 | SGP4-a: 7720.37
Epoch: 2.46078e+06 | MSE: 6399.92 | RK45-a: 7721.59 | SGP4-a: 7721.49
Epoch: 2.46078e+06 | MSE: 5173.45 | RK45-a: 7721.58 | SGP4-a: 7721.37
Epoch: 2.46078e+06 | MSE: 10468.8 | RK45-a: 7721.58 | SGP4-a: 7720.01
Epoch: 2.46078e+06 | MSE: 3575.39 | RK45-a: 7721.59 | SGP4-a: 7717.69
Epoch: 2.46078e+06 | MSE: 716.855 | RK45-a: 7721.6 | SGP4-a: 7714.78
Epoch: 2.46078e+06 | MSE: 4637.49 | RK45-a: 7721.6 | SGP4-a: 7711.82
Epoch: 2.46078e+06 | MSE: 280.264 | RK45-a: 7721.59 | SGP4-a: 7709.32
Epoch: 2.46078e+06 | MSE: 4252.32 | RK45-a: 7721.58 | SGP4-a: 7707.73
Epoch: 2.46078e+06 | MSE: 461.594 | RK45-a: 7721.58 | SGP4-a: 7707.31
Epoch: 2.46078e+06 | MSE: 2321.21 | RK45-a: 7721.59 | SGP4-a: 7708.16
Epoch: 2.46078e+06 | MSE: 1061.57 | RK45-a: 7721.6 | SGP4-a: 7710.1
Epoch: 2.46078e+06 | MSE: 926.806 | RK45-a: 7721.6 | SGP4-a: 7712.82
Epoch: 2.46078e+06 | MSE: 3329.63 | RK45-a: 7721.59 | SGP4-a: 7715.82
Epoch: 2.46078e+06 | MSE: 2664.9 | RK45-a: 7721.58 | SGP4-a: 7718.58
Epoch: 2.46078e+06 | MSE: 6240.22 | RK45-a: 7721.57 | SGP4-a: 7720.61
Epoch: 2.46078e+06 | MSE: 6877.21 | RK45-a: 7721.58 | SGP4-a: 7721.55
Epoch: 2.46078e+06 | MSE: 3625 | RK45-a: 7721.6 | SGP4-a: 7721.24
Epoch: 2.46078e+06 | MSE: 8683.6 | RK45-a: 7721.61 | SGP4-a: 7719.72
Epoch: 2.46078e+06 | MSE: 1960.19 | RK45-a: 7721.59 | SGP4-a: 7717.28
Epoch: 2.46078e+06 | MSE: 268.208 | RK45-a: 7721.58 | SGP4-a: 7714.33
Epoch: 2.46078e+06 | MSE: 4686.76 | RK45-a: 7721.58 | SGP4-a: 7711.41
Epoch: 2.46078e+06 | MSE: 396.399 | RK45-a: 7721.59 | SGP4-a: 7709.02
Epoch: 2.46078e+06 | MSE: 3651.08 | RK45-a: 7721.61 | SGP4-a: 7707.58
Epoch: 2.46078e+06 | MSE: 1207.81 | RK45-a: 7721.61 | SGP4-a: 7707.36
Epoch: 2.46078e+06 | MSE: 2367.05 | RK45-a: 7721.6 | SGP4-a: 7708.38
Epoch: 2.46078e+06 | MSE: 2613.03 | RK45-a: 7721.58 | SGP4-a: 7710.47
